"id","name","firstname","lastname","number","club","position","height","weight","nationality","birthdate","photo"
348888,"M. Kömür","Mert","Kömür",36,"Augsburg","Midfielder","183 cm","77 kg","Germany","2005-07-17","https://media.api-sports.io/football/players/348888.png"
328019,"M. Kücüksahin","Mahmut","Kücüksahin",15,"Augsburg","Midfielder","175 cm","70 kg","Türkiye","2004-04-07","https://media.api-sports.io/football/players/328019.png"
280453,"Juan Cabrera","Juan","Cabrera",10,"Augsburg","Midfielder","183 cm","71 kg","Uruguay","2003-02-27","https://media.api-sports.io/football/players/280453.png"
177613,"D. Deger","David Josef","Deger",21,"Augsburg","Midfielder","179 cm","73 kg","Germany","2000-02-13","https://media.api-sports.io/football/players/177613.png"
322508,"Y. Kabadayı","Yusuf Karhan","Kabadayı",7,"Augsburg","Attacker","186 cm","75 kg","Germany","2004-02-02","https://media.api-sports.io/football/players/322508.png"
8651,"S. Essende","Samuel Emmanuel","Essende Mbongu",99,"Augsburg","Attacker","192 cm","88 kg","France","1998-01-23","https://media.api-sports.io/football/players/8651.png"
3395,"S. Mounié","Steve Michel","Mounié",9,"Augsburg","Attacker","190 cm","83 kg","Benin","1994-09-29","https://media.api-sports.io/football/players/3395.png"
26171,"P. Tietz","Phillip","Tietz",21,"Augsburg","Attacker","190 cm","86 kg","Germany","1997-07-09","https://media.api-sports.io/football/players/26171.png"
7691,"M. Berisha","Mërgim","Berisha",7,"Augsburg","Attacker","186 cm","81 kg","Germany","1998-05-11","https://media.api-sports.io/football/players/7691.png"
963,"L. Hrádecký","Lukáš","Hrádecký",1,"Bayer Leverkusen","Goalkeeper","192 cm","83 kg","Finland","1989-11-24","https://media.api-sports.io/football/players/963.png"
138804,"M. Kovář","Matěj","Kovář",17,"Bayer Leverkusen","Goalkeeper","196 cm","88 kg","Czech Republic","2000-05-17","https://media.api-sports.io/football/players/138804.png"
25168,"N. Lomb","Niklas","Lomb",36,"Bayer Leverkusen","Goalkeeper","186 cm","84 kg","Germany","1993-07-28","https://media.api-sports.io/football/players/25168.png"
127817,"P. Hincapié","Piero Martín","Hincapié Reyna",3,"Bayer Leverkusen","Defender","184 cm","77 kg","Ecuador","2002-01-09","https://media.api-sports.io/football/players/127817.png"
972,"J. Tah","Jonathan","Glao Tah",4,"Bayer Leverkusen","Defender","195 cm","94 kg","Germany","1996-02-11","https://media.api-sports.io/football/players/972.png"
2669,"Hermoso","Mario","Hermoso Canseco",22,"Bayer Leverkusen","Defender","184 cm","75 kg","Spain","1995-06-18","https://media.api-sports.io/football/players/2669.png"
41150,"E. Tapsoba","Edmond Fayçal","Tapsoba",12,"Bayer Leverkusen","Defender","194 cm","85 kg","Burkina Faso","1999-02-02","https://media.api-sports.io/football/players/41150.png"
352375,"Arthur","Arthur Augusto","de Matos Soares",2,"Bayer Leverkusen","Defender","173 cm","70 kg","Brazil","2003-03-17","https://media.api-sports.io/football/players/352375.png"
563,"Álex Grimaldo","Alejandro","Grimaldo García",20,"Bayer Leverkusen","Defender","171 cm","63 kg","Spain","1995-09-20","https://media.api-sports.io/football/players/563.png"
1146,"N. Mukiele","Nordi","Mukiele Mulere",26,"Bayer Leverkusen","Defender","187 cm","84 kg","France","1997-11-01","https://media.api-sports.io/football/players/1146.png"
462228,"A. Natali","Andrea","Natali",26,"Bayer Leverkusen","Defender","186 cm","80 kg","Italy","2008-01-28","https://media.api-sports.io/football/players/462228.png"
486523,"B. Hawighorst","Ben","Hawighorst",28,"Bayer Leverkusen","Defender","185 cm","76 kg","Germany","2008-03-01","https://media.api-sports.io/football/players/486523.png"
152654,"J. Frimpong","Jeremie Agyekum","Frimpong",30,"Bayer Leverkusen","Defender","171 cm","63 kg","Netherlands","2000-12-10","https://media.api-sports.io/football/players/152654.png"
343316,"J. Belocian","Jeanuël","Belocian",44,"Bayer Leverkusen","Defender","186 cm","73 kg","France","2005-02-17","https://media.api-sports.io/football/players/343316.png"
25635,"J. Hofmann","Jonas","Hofmann",7,"Bayer Leverkusen","Midfielder","176 cm","73 kg","Germany","1992-07-14","https://media.api-sports.io/football/players/25635.png"
24903,"R. Andrich","Robert","Andrich",8,"Bayer Leverkusen","Midfielder","187 cm","83 kg","Germany","1994-09-22","https://media.api-sports.io/football/players/24903.png"
203224,"F. Wirtz","Florian Richard","Wirtz",10,"Bayer Leverkusen","Midfielder","176 cm","70 kg","Germany","2003-05-03","https://media.api-sports.io/football/players/203224.png"
19071,"E. Buendía","Emiliano","Buendía Stati",10,"Bayer Leverkusen","Midfielder","172 cm","72 kg","Argentina","1996-12-25","https://media.api-sports.io/football/players/19071.png"
231029,"N. Tella","Nathan Adewale Temitayo","Tella",19,"Bayer Leverkusen","Midfielder","173 cm","70 kg","England","1999-07-05","https://media.api-sports.io/football/players/231029.png"
47516,"Aleix García","Aleix","García Serrano",14,"Bayer Leverkusen","Midfielder","173 cm","68 kg","Spain","1997-06-28","https://media.api-sports.io/football/players/47516.png"
6002,"E. Palacios","Exequiel Alejandro","Palacios",25,"Bayer Leverkusen","Midfielder","176 cm","69 kg","Argentina","1998-10-05","https://media.api-sports.io/football/players/6002.png"
419627,"O. Raterink","Othniël","Raterink",14,"Bayer Leverkusen","Midfielder","189 cm","85 kg","Netherlands","2006-04-07","https://media.api-sports.io/football/players/419627.png"
1464,"G. Xhaka","Granit","Xhaka",10,"Bayer Leverkusen","Midfielder","186 cm","80 kg","Switzerland","1992-09-27","https://media.api-sports.io/football/players/1464.png"
663,"M. Terrier","Martin Albert Frédéric","Terrier",7,"Bayer Leverkusen","Attacker","184 cm","71 kg","France","1997-03-04","https://media.api-sports.io/football/players/663.png"
794,"P. Schick","Patrik","Schick",14,"Bayer Leverkusen","Attacker","191 cm","87 kg","Czechia","1996-01-24","https://media.api-sports.io/football/players/794.png"
414384,"A. Sarco","Alejo Uriel","Sarco",18,"Bayer Leverkusen","Attacker","179 cm","76 kg","Argentina","2006-01-06","https://media.api-sports.io/football/players/414384.png"
129682,"A. Adli","Amine","Adli",15,"Bayer Leverkusen","Attacker","174 cm","72 kg","Morocco","2000-05-10","https://media.api-sports.io/football/players/129682.png"
39071,"V. Boniface","Victor Okoh","Boniface",22,"Bayer Leverkusen","Attacker","189 cm","91 kg","Nigeria","2000-12-23","https://media.api-sports.io/football/players/39071.png"
444975,"Artem Stepanov","Artem","Stepanov",29,"Bayer Leverkusen","Attacker","192 cm","86 kg","Ukraine","2007-08-10","https://media.api-sports.io/football/players/444975.png"
392254,"Francis-Ikechukwu Onyeka","Francis-Ikechukwu","Onyeka",40,"Bayer Leverkusen","Attacker","187 cm","74 kg","Germany","2007-04-29","https://media.api-sports.io/football/players/392254.png"
395559,"Kerim-Sam Alajbegović","Kerim-Sam","Alajbegović",47,"Bayer Leverkusen","Attacker","178 cm","65 kg","Bosnia and Herzegovina","2007-09-21","https://media.api-sports.io/football/players/395559.png"
497,"M. Neuer","Manuel Peter","Neuer",1,"Bayern Munich","Goalkeeper","193 cm","93 kg","Germany","1986-03-27","https://media.api-sports.io/football/players/497.png"
126530,"Daniel Peretz","Daniel","Peretz",18,"Bayern Munich","Goalkeeper","195 cm","89 kg","Israel","2000-07-10","https://media.api-sports.io/football/players/126530.png"
498,"S. Ulreich","Sven","Ulreich",26,"Bayern Munich","Goalkeeper","192 cm","87 kg","Germany","1988-08-03","https://media.api-sports.io/football/players/498.png"
344290,"M. Schmitt","Max","Schmitt",32,"Bayern Munich","Goalkeeper","189 cm","76 kg","Germany","2006-01-18","https://media.api-sports.io/football/players/344290.png"
411755,"A. Pavlešić","Anthony","Pavlešić",1,"Bayern Munich","Goalkeeper","190 cm","80 kg","Australia","2006-01-31","https://media.api-sports.io/football/players/411755.png"
203376,"J. Urbig","Jonas Kurt","Urbig",40,"Bayern Munich","Goalkeeper","189 cm","83 kg","Germany","2003-08-08","https://media.api-sports.io/football/players/203376.png"
435089,"Leon Klanac","Leon","Klanac",48,"Bayern Munich","Goalkeeper","185 cm","80 kg","Germany","2007-03-01","https://media.api-sports.io/football/players/435089.png"
1149,"D. Upamecano","Dayotchanculle Oswald","Upamecano",2,"Bayern Munich","Defender","186 cm","90 kg","France","1998-10-27","https://media.api-sports.io/football/players/1149.png"
2897,"Kim Min-Jae","Min-Jae","Kim",3,"Bayern Munich","Defender","190 cm","88 kg","Korea Republic","1996-11-15","https://media.api-sports.io/football/players/2897.png"
175,"E. Dier","Eric Jeremy Edgar","Dier",15,"Bayern Munich","Defender","188 cm","83 kg","England","1994-01-15","https://media.api-sports.io/football/players/175.png"
509,"A. Davies","Alphonso Boyle","Davies",19,"Bayern Munich","Defender","183 cm","75 kg","Canada","2000-11-02","https://media.api-sports.io/football/players/509.png"
32893,"H. Ito","Hiroki","Ito",21,"Bayern Munich","Defender","188 cm","84 kg","Japan","1999-05-12","https://media.api-sports.io/football/players/32893.png"
8,"Raphaël Guerreiro","Raphaël Adelino José","Guerreiro",22,"Bayern Munich","Defender","170 cm","71 kg","Portugal","1993-12-22","https://media.api-sports.io/football/players/8.png"
2195,"S. Boey","Sacha","Boey",93,"Bayern Munich","Defender","178 cm","70 kg","France","2000-09-13","https://media.api-sports.io/football/players/2195.png"
330612,"T. Buchmann","Tarek","Buchmann",36,"Bayern Munich","Defender","188 cm","79 kg","Germany","2005-02-28","https://media.api-sports.io/football/players/330612.png"
125171,"J. Stanišić","Josip","Stanišić",44,"Bayern Munich","Defender","186 cm","77 kg","Croatia","2000-04-02","https://media.api-sports.io/football/players/125171.png"
502,"J. Kimmich","Joshua Walter","Kimmich",6,"Bayern Munich","Midfielder","177 cm","75 kg","Germany","1995-02-08","https://media.api-sports.io/football/players/502.png"
511,"L. Goretzka","Leon Christoph","Goretzka",8,"Bayern Munich","Midfielder","189 cm","82 kg","Germany","1995-02-06","https://media.api-sports.io/football/players/511.png"
41104,"João Palhinha","João Maria","Lobo Alves Palhinha Gonçalves",16,"Bayern Munich","Midfielder","190 cm","84 kg","Portugal","1995-07-09","https://media.api-sports.io/football/players/41104.png"
19617,"M. Olise","Michael Akpovie","Olise",11,"Bayern Munich","Attacker","184 cm","76 kg","France","2001-12-12","https://media.api-sports.io/football/players/19617.png"
280334,"G. Vidović","Gabriel","Vidović",17,"Bayern Munich","Midfielder","180 cm","75 kg","Croatia","2003-12-01","https://media.api-sports.io/football/players/280334.png"
1157,"K. Laimer","Konrad","Laimer",27,"Bayern Munich","Midfielder","180 cm","72 kg","Austria","1997-05-27","https://media.api-sports.io/football/players/1157.png"
181812,"J. Musiala","Jamal","Musiala",42,"Bayern Munich","Attacker","184 cm","72 kg","Germany","2003-02-26","https://media.api-sports.io/football/players/181812.png"
328033,"A. Pavlović","Aleksandar","Pavlović",6,"Bayern Munich","Midfielder","188 cm","75 kg","Germany","2004-05-03","https://media.api-sports.io/football/players/328033.png"
354754,"Jonathan Asp Jensen","Jonathan","Asp Jensen","N/A","Bayern Munich","Midfielder","177 cm","65 kg","Denmark","2006-01-14","https://media.api-sports.io/football/players/354754.png"
510,"S. Gnabry","Serge David","Gnabry",7,"Bayern Munich","Attacker","176 cm","77 kg","Germany","1995-07-14","https://media.api-sports.io/football/players/510.png"
184,"H. Kane","Harry Edward","Kane",9,"Bayern Munich","Attacker","188 cm","86 kg","England","1993-07-28","https://media.api-sports.io/football/players/184.png"
644,"L. Sané","Leroy Aziz","Sané",10,"Bayern Munich","Midfielder","183 cm","80 kg","Germany","1996-01-11","https://media.api-sports.io/football/players/644.png"
508,"K. Coman","Kingsley Junior","Coman",11,"Bayern Munich","Attacker","181 cm","76 kg","France","1996-06-13","https://media.api-sports.io/football/players/508.png"
522,"T. Müller","Thomas","Müller",25,"Bayern Munich","Attacker","185 cm","76 kg","Germany","1989-09-13","https://media.api-sports.io/football/players/522.png"
496738,"W. Mike","Wisdom","Okpako Mike",36,"Bayern Munich","Midfielder","Unknown","Unknown","Germany","2008-09-24","https://media.api-sports.io/football/players/496738.png"
436443,"J. Kusi-Asare","Jonah","Kusi-Asare",30,"Bayern Munich","Attacker","196 cm","84 kg","Sweden","2007-07-04","https://media.api-sports.io/football/players/436443.png"
440139,"Michael Scott","Michael","Scott",47,"Bayern Munich","Midfielder","170 cm","60 kg","Germany","2006-02-02","https://media.api-sports.io/football/players/440139.png"
24785,"T. Horn","Timo Phil","Horn",1,"Bocum","Goalkeeper","192 cm","90 kg","Germany","1993-05-12","https://media.api-sports.io/football/players/24785.png"
26395,"P. Drewes","Patrick","Drewes",23,"Bocum","Goalkeeper","194 cm","87 kg","Germany","1993-02-04","https://media.api-sports.io/football/players/26395.png"
128815,"P. Grave","Paul","Grave",34,"Bocum","Goalkeeper","193 cm","94 kg","Germany","2001-04-10","https://media.api-sports.io/football/players/128815.png"
1109,"C. Gamboa","Cristian Esteban","Gamboa Luna",2,"Bocum","Defender","175 cm","70 kg","Costa Rica","1989-10-24","https://media.api-sports.io/football/players/1109.png"
18964,"Bernardo","Bernardo","Fernandes da Silva Junior",5,"Bocum","Defender","186 cm","76 kg","Brazil","1995-05-14","https://media.api-sports.io/football/players/18964.png"
80219,"J. Medić","Jakov","Medić",18,"Bocum","Defender","193 cm","91 kg","Croatia","1998-09-07","https://media.api-sports.io/football/players/80219.png"
280091,"T. Oermann","Tim","Oermann",14,"Bocum","Defender","187 cm","76 kg","Germany","2003-10-06","https://media.api-sports.io/football/players/280091.png"
19068,"F. Passlack","Felix","Passlack",15,"Bocum","Defender","170 cm","74 kg","Germany","1998-05-29","https://media.api-sports.io/football/players/19068.png"
683,"I. Ordets","Ivan","Ordets",20,"Bocum","Defender","194 cm","88 kg","Ukraine","1992-07-08","https://media.api-sports.io/football/players/683.png"
336233,"M. Tolba","Mohammed","Tolba",25,"Bocum","Defender","185 cm","76 kg","Germany","2004-07-19","https://media.api-sports.io/football/players/336233.png"
25151,"M. Wittek","Maximilian","Wittek",32,"Bocum","Defender","173 cm","70 kg","Germany","1995-08-21","https://media.api-sports.io/football/players/25151.png"
61411,"E. Mašović","Erhan","Mašović",4,"Bocum","Midfielder","189 cm","82 kg","Serbia","1998-11-22","https://media.api-sports.io/football/players/61411.png"
22260,"I. Sissoko","Ibrahima","Sissoko",27,"Bocum","Midfielder","193 cm","90 kg","France","1997-10-27","https://media.api-sports.io/football/players/22260.png"
25074,"A. Losilla","Anthony","Losilla",8,"Bocum","Midfielder","185 cm","80 kg","France","1986-03-10","https://media.api-sports.io/football/players/25074.png"
539,"D. de Wit","Dani","de Wit",10,"Bocum","Midfielder","184 cm","76 kg","Netherlands","1998-01-28","https://media.api-sports.io/football/players/539.png"
329472,"N. Jahn","Niklas","Jahn",6,"Bocum","Midfielder","171 cm","65 kg","Germany","2004-07-26","https://media.api-sports.io/football/players/329472.png"
1156,"T. Krauß","Tom","Krauß",6,"Bocum","Midfielder","182 cm","72 kg","Germany","2001-06-22","https://media.api-sports.io/football/players/1156.png"
37122,"M. Bero","Matúš","Bero",5,"Bocum","Midfielder","181 cm","81 kg","Slovakia","1995-09-06","https://media.api-sports.io/football/players/37122.png"
33019,"K. Miyoshi","Kōji","Miyoshi",11,"Bocum","Midfielder","167 cm","64 kg","Japan","1997-03-26","https://media.api-sports.io/football/players/33019.png"
336224,"M. Pannewig","Mats Henry","Pannewig",24,"Bocum","Midfielder","195 cm","92 kg","Germany","2004-10-28","https://media.api-sports.io/football/players/336224.png"
380564,"Lennart Koerdt","Lennart","Koerdt",28,"Bocum","Midfielder","187 cm","80 kg","Germany","2005-01-07","https://media.api-sports.io/football/players/380564.png"
36907,"M. Boadu","Myron","Boadu",9,"Bocum","Attacker","183 cm","67 kg","Netherlands","2001-01-14","https://media.api-sports.io/football/players/36907.png"
1610,"G. Masouras","Giorgos","Masouras",19,"Bocum","Midfielder","184 cm","76 kg","Greece","1994-01-01","https://media.api-sports.io/football/players/1610.png"
280368,"S. Bamba","Samuel","Bamba",48,"Bocum","Attacker","179 cm","70 kg","Germany","2004-02-13","https://media.api-sports.io/football/players/280368.png"
25919,"G. Holtmann","Gerrit Stephan","Barba Holtmann",38,"Bocum","Attacker","185 cm","77 kg","Philippines","1995-03-25","https://media.api-sports.io/football/players/25919.png"
26227,"M. Broschinski","Moritz","Broschinski",29,"Bocum","Attacker","190 cm","77 kg","Germany","2000-09-23","https://media.api-sports.io/football/players/26227.png"
26287,"P. Hofmann","Philipp","Hofmann",33,"Bocum","Attacker","195 cm","89 kg","Germany","1993-03-30","https://media.api-sports.io/football/players/26287.png"
2801,"J. Omlin","Jonas","Omlin",1,"Borussia Mönchengladbach","Goalkeeper","190 cm","80 kg","Switzerland","1994-01-10","https://media.api-sports.io/football/players/2801.png"
25627,"T. Sippel","Tobias","Sippel",21,"Borussia Mönchengladbach","Goalkeeper","183 cm","80 kg","Germany","1988-03-22","https://media.api-sports.io/football/players/25627.png"
25626,"M. Nicolas","Moritz","Nicolas",33,"Borussia Mönchengladbach","Goalkeeper","193 cm","87 kg","Germany","1997-10-21","https://media.api-sports.io/football/players/25626.png"
340155,"T. Pereira Cardoso","Tiago","Pereira Cardoso",42,"Borussia Mönchengladbach","Goalkeeper","190 cm","Unknown","Luxembourg","2006-04-07","https://media.api-sports.io/football/players/340155.png"
322627,"F. Chiarodia","Fabio Christian","Chiarodia",4,"Borussia Mönchengladbach","Defender","186 cm","80 kg","Italy","2005-06-05","https://media.api-sports.io/football/players/322627.png"
38114,"K. Itakura","Ko","Itakura",3,"Borussia Mönchengladbach","Defender","188 cm","80 kg","Japan","1997-01-27","https://media.api-sports.io/football/players/38114.png"
24839,"M. Friedrich","Marvin","Friedrich",5,"Borussia Mönchengladbach","Defender","193 cm","81 kg","Germany","1995-12-13","https://media.api-sports.io/football/players/24839.png"
163069,"L. Netz","Luca","Netz",22,"Borussia Mönchengladbach","Defender","180 cm","83 kg","Germany","2003-05-15","https://media.api-sports.io/football/players/163069.png"
1082,"S. Lainer","Stefan","Lainer",18,"Borussia Mönchengladbach","Defender","175 cm","73 kg","Austria","1992-08-27","https://media.api-sports.io/football/players/1082.png"
327646,"L. Ullrich","Lukas","Ullrich",6,"Borussia Mönchengladbach","Defender","180 cm","69 kg","Germany","2004-03-16","https://media.api-sports.io/football/players/327646.png"
50852,"J. Scally","Joseph Michael","Scally",29,"Borussia Mönchengladbach","Defender","184 cm","80 kg","USA","2002-12-31","https://media.api-sports.io/football/players/50852.png"
2803,"N. Elvedi","Nico","Elvedi",4,"Borussia Mönchengladbach","Defender","189 cm","84 kg","Switzerland","1996-09-30","https://media.api-sports.io/football/players/2803.png"
25461,"K. Stöger","Kevin","Stöger",7,"Borussia Mönchengladbach","Midfielder","175 cm","74 kg","Austria","1993-08-27","https://media.api-sports.io/football/players/25461.png"
19,"J. Weigl","Julian","Weigl",8,"Borussia Mönchengladbach","Midfielder","186 cm","72 kg","Germany","1995-09-08","https://media.api-sports.io/football/players/19.png"
20784,"F. Honorat","Franck","Honorat",9,"Borussia Mönchengladbach","Midfielder","180 cm","70 kg","France","1996-08-11","https://media.api-sports.io/football/players/20784.png"
25638,"F. Neuhaus","Florian Christian","Neuhaus",10,"Borussia Mönchengladbach","Midfielder","185 cm","74 kg","Germany","1997-03-16","https://media.api-sports.io/football/players/25638.png"
24969,"P. Sander","Philipp","Sander",16,"Borussia Mönchengladbach","Midfielder","186 cm","77 kg","Germany","1998-02-21","https://media.api-sports.io/football/players/24969.png"
22148,"N. Ngoumou","Nathan","Ngoumou Minpole",19,"Borussia Mönchengladbach","Midfielder","182 cm","70 kg","France","2000-03-14","https://media.api-sports.io/football/players/22148.png"
725,"R. Hack","Robin","Hack",25,"Borussia Mönchengladbach","Midfielder","176 cm","68 kg","Germany","1998-08-27","https://media.api-sports.io/football/players/725.png"
203007,"R. Reitz","Rocco","Reitz",27,"Borussia Mönchengladbach","Midfielder","176 cm","75 kg","Germany","2002-05-29","https://media.api-sports.io/football/players/203007.png"
442151,"Niklas Swider","Niklas","Swider",39,"Borussia Mönchengladbach","Midfielder","188 cm","88 kg","Germany","2007-01-05","https://media.api-sports.io/football/players/442151.png"
26256,"T. Kleindienst","Tim","Kleindienst",10,"Borussia Mönchengladbach","Attacker","194 cm","85 kg","Germany","1995-08-31","https://media.api-sports.io/football/players/26256.png"
405112,"S. Fukuda","Shio","Fukuda",25,"Borussia Mönchengladbach","Attacker","178 cm","70 kg","Japan","2004-04-08","https://media.api-sports.io/football/players/405112.png"
25646,"A. Pléa","Alassane Alexandre","Pléa",14,"Borussia Mönchengladbach","Attacker","181 cm","79 kg","France","1993-03-10","https://media.api-sports.io/football/players/25646.png"
334092,"Noah Pesch","Noah","Pesch",19,"Borussia Mönchengladbach","Attacker","183 cm","70 kg","Germany","2005-02-18","https://media.api-sports.io/football/players/334092.png"
80434,"T. Čvančara","Tomáš","Čvančara",31,"Borussia Mönchengladbach","Attacker","190 cm","79 kg","Czechia","2000-08-13","https://media.api-sports.io/football/players/80434.png"
318531,"Y. Borges Sanches","Yvandro","Borges Sanches",38,"Borussia Mönchengladbach","Attacker","175 cm","68 kg","Luxembourg","2004-05-24","https://media.api-sports.io/football/players/318531.png"
25169,"M. Schuhen","Marcel","Schuhen",1,"Darmstadt","Goalkeeper","188 cm","85 kg","Germany","1993-01-13","https://media.api-sports.io/football/players/25169.png"
25226,"A. Brunst","Alexander","Brunst-Zöllner",30,"Darmstadt","Goalkeeper","195 cm","90 kg","Germany","1995-07-07","https://media.api-sports.io/football/players/25226.png"
162722,"Sergio López","Sergio","López Galache",22,"Darmstadt","Defender","179 cm","67 kg","Spain","1999-04-08","https://media.api-sports.io/football/players/162722.png"
293603,"Guille Bueno","Guillermo","Bueno López",3,"Darmstadt","Defender","178 cm","72 kg","Spain","2002-09-18","https://media.api-sports.io/football/players/293603.png"
19069,"C. Zimmermann","Christoph","Zimmermann",4,"Darmstadt","Defender","194 cm","89 kg","Germany","1993-01-12","https://media.api-sports.io/football/players/19069.png"
272242,"M. Maglica","Matej","Maglica",5,"Darmstadt","Defender","198 cm","95 kg","Croatia","1998-09-25","https://media.api-sports.io/football/players/272242.png"
26096,"M. Thiede","Marco","Thiede",21,"Darmstadt","Defender","178 cm","75 kg","Germany","1992-05-20","https://media.api-sports.io/football/players/26096.png"
67024,"M. Drešković","Meldin","Drešković",14,"Darmstadt","Defender","191 cm","85 kg","Montenegro","1998-03-26","https://media.api-sports.io/football/players/67024.png"
8725,"A. Vukotić","Aleksandar","Vukotić",26,"Darmstadt","Defender","201 cm","95 kg","Serbia","1995-07-22","https://media.api-sports.io/football/players/8725.png"
24788,"M. Bader","Matthias","Bader",26,"Darmstadt","Defender","176 cm","72 kg","Germany","1997-06-17","https://media.api-sports.io/football/players/24788.png"
25040,"F. Holland","Fabian","Holland",32,"Darmstadt","Defender","172 cm","78 kg","Germany","1990-07-11","https://media.api-sports.io/football/players/25040.png"
282054,"C. Riedel","Clemens","Riedel",38,"Darmstadt","Defender","186 cm","83 kg","Germany","2003-07-19","https://media.api-sports.io/football/players/282054.png"
413485,"Tim Arnold","Tim","Arnold",46,"Darmstadt","Defender","183 cm","72 kg","Germany","2006-07-29","https://media.api-sports.io/football/players/413485.png"
25925,"J. Boëtius","Jean-Paul","Boëtius",10,"Darmstadt","Midfielder","178 cm","76 kg","Netherlands","1994-03-22","https://media.api-sports.io/football/players/25925.png"
25047,"T. Kempe","Tobias","Kempe",11,"Darmstadt","Midfielder","184 cm","75 kg","Germany","1989-06-27","https://media.api-sports.io/football/players/25047.png"
125312,"F. Nürnberger","Fabian","Nürnberger",15,"Darmstadt","Midfielder","181 cm","76 kg","Germany","1999-07-28","https://media.api-sports.io/football/players/125312.png"
178199,"A. Müller","Andreas","Müller",16,"Darmstadt","Midfielder","173 cm","70 kg","Germany","2000-07-20","https://media.api-sports.io/football/players/178199.png"
26073,"K. Klefisch","Kai","Klefisch",27,"Darmstadt","Midfielder","188 cm","84 kg","Germany","1999-12-03","https://media.api-sports.io/football/players/26073.png"
25183,"P. Förster","Philipp","Förster",10,"Darmstadt","Midfielder","188 cm","82 kg","Germany","1995-02-04","https://media.api-sports.io/football/players/25183.png"
202727,"M. Papela","Matondo-Merveille","Papela",24,"Darmstadt","Midfielder","176 cm","72 kg","Germany","2001-01-18","https://media.api-sports.io/football/players/202727.png"
